hash Default $G^1_4$ $G^1_5$ 
0.46 0.888276794446 0.877111414738 0.87194640889
0.46025 0.888759553573 0.877962964394 0.872845882492
0.4605 0.8892423127 0.878814648171 0.873745533779
0.46075 0.889725071828 0.87966646515 0.874645361564
0.461 0.890207830955 0.880518414596 0.87554536488
0.46125 0.890690590083 0.881370495466 0.876445542399
0.4615 0.89117334921 0.882222707112 0.87734589322
0.46175 0.891656108337 0.883075048509 0.878246416045
0.462 0.892138867465 0.883927518926 0.879147109914
0.46225 0.892621626592 0.884780117417 0.880047973595
0.4625 0.89310438572 0.885632843253 0.88094900609
0.46275 0.893587144847 0.886485695408 0.881850206112
0.463 0.894069903975 0.887338673165 0.882751572717
0.46325 0.894552663102 0.888191775515 0.883653104598
0.4635 0.895035422229 0.889045001809 0.884554800828
0.46375 0.895518181357 0.889898351009 0.885456660146
0.464 0.896000940484 0.890751822347 0.886358681503
0.46425 0.896483699612 0.891605414886 0.887260863678
0.4645 0.896966458739 0.892459127888 0.888163205667
0.46475 0.897449217866 0.893312960336 0.88906570622
0.465 0.897931976994 0.894166911538 0.889968364333
0.46525 0.898414736121 0.895020980439 0.890871178749
0.4655 0.898897495249 0.895875166367 0.89177414844
0.46575 0.899380254376 0.896729468274 0.892677272167
0.466 0.899863013504 0.897583885452 0.893580548894
0.46625 0.900345772631 0.898438416902 0.894483977409
0.4665 0.900828531758 0.899293061899 0.895387556682
0.46675 0.901311290886 0.900147819421 0.896291285403
0.467 0.901794050013 0.901002688753 0.897195162624
0.46725 0.902276809141 0.901857668845 0.898099187023
0.4675 0.902759568268 0.902712759032 0.899003357612
0.46775 0.903242327395 0.903567958226 0.899907673101
0.468 0.903725086523 0.904423265774 0.900812132539
0.46825 0.90420784565 0.905278680638 0.901716734585
0.4685 0.904690604778 0.90613420203 0.902621478219
0.46875 0.905173363905 0.906989829006 0.903526362195
0.469 0.905656123033 0.90784556078 0.904431385457
0.46925 0.90613888216 0.908701396411 0.905336546797
0.4695 0.906621641287 0.909557335068 0.90624184511
0.46975 0.907104400415 0.910413375817 0.907147279188
0.47 0.907587159542 0.911269517855 0.908052847951
0.47025 0.90806991867 0.91212576021 0.908958550121
0.4705 0.908552677797 0.912982102122 0.909864384706
0.47075 0.909035436924 0.913838542586 0.910770350396
0.471 0.909518196052 0.91469508086 0.911676446187
0.47125 0.910000955179 0.91555171589 0.912582670729
0.4715 0.910483714307 0.91640844695 0.913489023024
0.47175 0.910966473434 0.91726527304 0.914395501813
0.472 0.911449232562 0.918122193444 0.915302106059
0.47225 0.911931991689 0.918979207047 0.916208834399
0.4725 0.912414750816 0.919836313204 0.917115685897
0.47275 0.912897509944 0.920693510827 0.918022659188
0.473 0.913380269071 0.921550799163 0.918929753249
0.47325 0.913863028199 0.922408177232 0.919836966789
0.4735 0.914345787326 0.923265644272 0.920744298787
0.47375 0.914828546453 0.924123199212 0.921651747876
0.474 0.915311305581 0.92498084139 0.922559313127
0.47425 0.915794064708 0.925838569701 0.923466993134
0.4745 0.916276823836 0.926696383406 0.924374786887
0.47475 0.916759582963 0.92755428152 0.92528269312
0.475 0.917242342091 0.928412263241 0.92619071073
0.47525 0.917725101218 0.92927032759 0.927098838486
0.4755 0.918207860345 0.930128473771 0.928007075253
0.47575 0.918690619473 0.930986700757 0.928915419764
0.476 0.9191733786 0.931845007812 0.92982387097
0.47625 0.919656137728 0.932703393906 0.930732427579
0.4765 0.920138896855 0.933561858242 0.931641088498
0.47675 0.920621655982 0.934420399836 0.932549852433
0.477 0.92110441511 0.935279017898 0.933458718334
0.47725 0.921587174237 0.936137711412 0.934367684887
0.4775 0.922069933365 0.936996479609 0.935276751049
0.47775 0.922552692492 0.937855321443 0.936185915446
0.478 0.923035451619 0.938714236193 0.937095177113
0.47825 0.923518210747 0.939573222782 0.938004534668
0.4785 0.924000969874 0.940432280458 0.938913987046
0.47875 0.924483729002 0.941291408179 0.939823532973
0.479 0.924966488129 0.942150605207 0.940733171331
0.47925 0.925449247257 0.943009870473 0.941642900839
0.4795 0.925932006384 0.943869203217 0.942552720413
0.47975 0.926414765511 0.944728602405 0.943462628748
0.48 0.926897524639 0.945588067282 0.944372624745
0.48025 0.927380283766 0.946447596828 0.945282707134
0.4805 0.927863042894 0.947307190192 0.946192874787
0.48075 0.928345802021 0.948166846399 0.947103126397
0.481 0.928828561148 0.949026564678 0.948013460924
0.48125 0.929311320276 0.949886343964 0.948923876985
0.4815 0.929794079403 0.950746183485 0.94983437354
0.48175 0.930276838531 0.951606082237 0.950744949269
0.482 0.930759597658 0.952466039383 0.951655603059
0.48225 0.931242356786 0.95332605393 0.952566333624
0.4825 0.931725115913 0.954186125072 0.953477139821
0.48275 0.93220787504 0.955046251804 0.954388020396
0.483 0.932690634168 0.955906433332 0.95529897424
0.48325 0.933173393295 0.956766668561 0.956209999975
0.4835 0.933656152423 0.957626956773 0.957121096581
0.48375 0.93413891155 0.958487296922 0.958032262666
0.484 0.934621670677 0.959347688182 0.958943497183
0.48425 0.935104429805 0.960208129538 0.959854798778
0.4845 0.935587188932 0.96106862026 0.96076616642
0.48475 0.93606994806 0.961929159182 0.961677598668
0.485 0.936552707187 0.962789745619 0.962589094502
0.48525 0.937035466315 0.963650378467 0.963500652557
0.4855 0.937518225442 0.964511056977 0.964412271761
0.48575 0.938000984569 0.96537178008 0.965323950758
0.486 0.938483743697 0.966232546999 0.966235688432
0.48625 0.938966502824 0.967093356692 0.967147483516
0.4865 0.939449261952 0.967954208374 0.968059334864
0.48675 0.939932021079 0.968815100956 0.968971241094
0.487 0.940414780206 0.969676033689 0.969883201165
0.48725 0.940897539334 0.970537005521 0.970795213721
0.4875 0.941380298461 0.971398015629 0.971707277637
0.48775 0.941863057589 0.972259063018 0.97261939162
0.488 0.942345816716 0.973120146811 0.973531554493
0.48825 0.942828575844 0.973981266014 0.974443764931
0.4885 0.943311334971 0.974842419879 0.975356021916
0.48875 0.943794094098 0.975703607206 0.976268323942
0.489 0.944276853226 0.976564827384 0.977180670072
0.48925 0.944759612353 0.977426079208 0.978093058817
0.4895 0.945242371481 0.978287361967 0.979005489141
0.48975 0.945725130608 0.979148674579 0.97991795967
0.49 0.946207889735 0.980010016236 0.980830469305
0.49025 0.946690648863 0.9808713859 0.981743016688
0.4905 0.94717340799 0.98173278278 0.982655600717
0.49075 0.947656167118 0.982594205789 0.983568219989
0.491 0.948138926245 0.983455654145 0.984480873456
