hash Default $G^1_4$ $G^1_5$ AF 
0.13 0.129973398677 0.0407783352841 0.0380857901202 7.60954425146e-07
0.132 0.131972989426 0.0419704790194 0.0391856606438 7.79287106015e-07
0.134 0.133972580175 0.0431791161903 0.040300842845 7.97921141417e-07
0.136 0.135972170924 0.044404258511 0.0414313837417 8.16863172651e-07
0.138 0.137971761672 0.0456459186362 0.0425773321125 8.36120024954e-07
0.14 0.139971352421 0.0469041101021 0.0437387384249 8.55698713689e-07
0.142 0.14197094317 0.048178847242 0.0449156547262 8.75606450802e-07
0.144 0.143970533919 0.0494701451244 0.0461081345716 8.95850651255e-07
0.146 0.145970124668 0.0507780194886 0.0473162329376 9.16438940129e-07
0.148 0.147969715417 0.0521024866813 0.0485400061412 9.37379159777e-07
0.15 0.149969306166 0.053443563585 0.0497795117516 9.58679377096e-07
0.152 0.151968896915 0.0548012675609 0.0510348085143 9.80347891672e-07
0.154 0.153968487663 0.0561756163921 0.0523059562762 1.00239324363e-06
0.156 0.155968078412 0.0575666282124 0.0535930158975 1.02482422174e-06
0.158 0.157967669161 0.0589743214592 0.0548960491799 1.04764987302e-06
0.16 0.15996725991 0.0603987148097 0.056215118796 1.07087951087e-06
0.162 0.161966850659 0.0618398271263 0.0575502882028 1.09452272537e-06
0.164 0.163966441408 0.0632976774073 0.0589016215834 1.11858939274e-06
0.166 0.165966032157 0.0647722847216 0.0602691837564 1.14308968579e-06
0.168 0.167965622906 0.0662636681692 0.0616530401179 1.16803408469e-06
0.17 0.169965213654 0.0677718468199 0.063053256566 1.19343338797e-06
0.172 0.171964804403 0.0692968396671 0.0644698994262 1.2192987248e-06
0.174 0.173964395152 0.0708386655781 0.0659030353933 1.24564156614e-06
0.176 0.175963985901 0.0723973432473 0.0673527314501 1.27247373864e-06
0.178 0.17796357665 0.0739728911396 0.0688190548077 1.29980743726e-06
0.18 0.179963167399 0.0755653274621 0.0703020728372 1.32765523902e-06
0.182 0.181962758148 0.0771746700929 0.0718018529946 1.35603011776e-06
0.184 0.183962348897 0.0788009365622 0.0733184627801 1.38494545925e-06
0.186 0.185961939645 0.0804441439929 0.0748519696401 1.41441507693e-06
0.188 0.187961530394 0.0821043090546 0.0764024409286 1.44445322839e-06
0.19 0.189961121143 0.0837814479379 0.0779699438357 1.47507463234e-06
0.192 0.191960711892 0.0854755762914 0.0795545453119 1.50629448741e-06
0.194 0.193960302641 0.0871867092076 0.0811563120369 1.53812849005e-06
0.196 0.19595989339 0.0889148611514 0.0827753103287 1.57059285476e-06
0.198 0.197959484139 0.0906600459492 0.0844116060931 1.60370433534e-06
0.2 0.199959074888 0.0924222767305 0.0860652647717 1.63748024517e-06
0.202 0.201958665636 0.0942015658962 0.0877363512599 1.67193848076e-06
0.204 0.203958256385 0.0959979250942 0.0894249298823 1.7070975456e-06
0.206 0.205957847134 0.097811365156 0.0911310642917 1.74297657389e-06
0.208 0.207957437883 0.0996418961033 0.0928548174671 1.7795953584e-06
0.21 0.209957028632 0.101489527041 0.0945962515792 1.81697437578e-06
0.212 0.211956619381 0.103354266211 0.0963554280105 1.8551348167e-06
0.214 0.21395621013 0.105236120898 0.0981324072621 1.89409861523e-06
0.216 0.215955800879 0.107135097408 0.0999272488885 1.93388848018e-06
0.218 0.217955391627 0.109051201048 0.101740011465 1.97452792915e-06
0.22 0.219954982376 0.110984436089 0.103570752528 2.01604132159e-06
0.222 0.221954573125 0.112934805729 0.105419528508 2.0584538973e-06
0.224 0.223954163874 0.11490231206 0.107286394692 2.10179181337e-06
0.226 0.225953754623 0.116886956048 0.109171405155 2.14608218511e-06
0.228 0.227953345372 0.1188887375 0.111074612717 2.19135312815e-06
0.23 0.229952936121 0.120907655032 0.112996068909 2.23763380374e-06
0.232 0.23195252687 0.122943706032 0.11493582387 2.28495446457e-06
0.234 0.233952117618 0.124996886651 0.116893926348 2.33334650541e-06
0.236 0.235951708367 0.127067191759 0.118870423625 2.382842515e-06
0.238 0.237951299116 0.129154614924 0.120865361471 2.43347632951e-06
0.24 0.239950889865 0.13125914838 0.122878784089 2.48528309271e-06
0.242 0.241950480614 0.133380783017 0.124910734083 2.53829931483e-06
0.244 0.243950071363 0.135519508328 0.126961252385 2.59256293848e-06
0.246 0.245949662112 0.137675312408 0.129030378226 2.6481134055e-06
0.248 0.247949252861 0.139848181922 0.131118149087 2.7049917291e-06
0.25 0.249948843609 0.142038102061 0.133224600624 2.76324056969e-06
0.252 0.251948434358 0.144245056565 0.135349766684 2.82290431464e-06
0.254 0.253948025107 0.146469027632 0.137493679172 2.88402916312e-06
0.256 0.255947615856 0.148709995959 0.139656368082 2.94666321479e-06
0.258 0.257947206605 0.150967940688 0.14183786142 3.01085656567e-06
0.26 0.259946797354 0.153242839378 0.14403818515 3.07666140772e-06
0.262 0.261946388103 0.155534668004 0.146257363169 3.14413213493e-06
0.264 0.263945978852 0.157843400911 0.148495417244 3.21332545528e-06
0.266 0.2659455696 0.160169010827 0.150752367002 3.28430051085e-06
0.268 0.267945160349 0.162511468796 0.153028229842 3.357119004e-06
0.27 0.269944751098 0.164870744208 0.155323020924 3.43184533134e-06
0.272 0.271944341847 0.167246804749 0.157636753146 3.50854672587e-06
0.274 0.273943932596 0.169639616364 0.159969437015 3.5872934086e-06
0.276 0.275943523345 0.172049143294 0.162321080734 3.66815874906e-06
0.278 0.277943114094 0.174475347993 0.164691690041 3.75121943747e-06
0.28 0.279942704843 0.176918191171 0.167081268273 3.83655566433e-06
0.282 0.281942295591 0.179377631728 0.169489816246 3.92425131641e-06
0.284 0.28394188634 0.181853626756 0.171917332247 4.0143941809e-06
0.286 0.285941477089 0.184346131525 0.174363812022 4.10707616741e-06
0.288 0.287941067838 0.18685509946 0.176829248694 4.20239353982e-06
0.29 0.289940658587 0.189380482115 0.17931363274 4.30044716866e-06
0.292 0.291940249336 0.191922229195 0.181816951988 4.40134279686e-06
0.294 0.293939840085 0.194480288499 0.184339191549 4.50519132443e-06
0.296 0.295939430834 0.197054605899 0.18688033375 4.6121091155e-06
0.298 0.297939021582 0.199645125382 0.189440358181 4.72221832156e-06
0.3 0.299938612331 0.202251788974 0.192019241596 4.8356472324e-06
0.302 0.30193820308 0.204874536749 0.194616957892 4.95253064994e-06
0.304 0.303937793829 0.207513306843 0.197233478111 5.07301028774e-06
0.306 0.305937384578 0.210168035397 0.199868770364 5.19723520205e-06
0.308 0.307936975327 0.21283865655 0.202522799806 5.3253622522e-06
0.31 0.309936566076 0.215525102473 0.205195528642 5.45755659617e-06
0.312 0.311936156825 0.218227303279 0.207886916036 5.59399222316e-06
0.314 0.313935747574 0.220945187088 0.210596918158 5.73485252681e-06
0.316 0.315935338322 0.223678679964 0.213325488066 5.88033092037e-06
0.318 0.317934929071 0.226427705931 0.216072575757 6.0306315029e-06
0.32 0.31993451982 0.229192186955 0.218838128098 6.18596977462e-06
0.322 0.321934110569 0.231972042913 0.221622088794 6.34657340878e-06
0.324 0.323933701318 0.234767191618 0.224424398383 6.51268308762e-06
0.326 0.325933292067 0.237577548797 0.227244994215 6.68455340498e-06
0.328 0.327932882816 0.240403028067 0.230083810395 6.8624538406e-06
0.33 0.329932473565 0.243243540939 0.232940777777 7.04666981907e-06
0.332 0.331932064313 0.246098996813 0.235815823941 7.23750385388e-06
0.334 0.333931655062 0.248969302963 0.238708873196 7.43527679048e-06
0.336 0.335931245811 0.251854364518 0.241619846486 7.64032915632e-06
0.338 0.33793083656 0.254754084509 0.244548661465 7.85302262675e-06
0.34 0.339930427309 0.257668363757 0.247495232359 8.07374162162e-06
0.342 0.341930018058 0.260597100981 0.250459470074 8.30289504335e-06
0.344 0.343929608807 0.263540192731 0.253441282081 8.54091817149e-06
0.346 0.345929199556 0.266497533375 0.256440572444 8.78827473001e-06
0.348 0.347928790304 0.269469015154 0.259457241795 9.04545915299e-06
0.35 0.349928381053 0.272454528079 0.262491187284 9.31299904937e-06
0.352 0.351927971802 0.275453960028 0.265542302626 9.59145791738e-06
0.354 0.353927562551 0.278467196674 0.26861047803 9.88143811113e-06
0.356 0.3559271533 0.281494121511 0.271695600199 1.01835841004e-05
0.358 0.357926744049 0.284534615852 0.274797552349 1.04985860565e-05
0.36 0.359926334798 0.287588558811 0.277916214152 1.08271837935e-05
0.362 0.361925925547 0.290655827311 0.281051461736 1.11701711205e-05
0.364 0.363925516295 0.293736296065 0.284203167689 1.15284006356e-05
0.366 0.365925107044 0.296829837621 0.287371201056 1.19027890329e-05
0.368 0.367924697793 0.299936322305 0.290555427293 1.2294322969e-05
0.37 0.369924288542 0.303055618272 0.293755708292 1.27040655732e-05
0.372 0.371923879291 0.306187591431 0.296971902341 1.31331636695e-05
0.374 0.37392347004 0.309332105546 0.300203864182 1.35828558102e-05
0.376 0.375923060789 0.312489022168 0.303451444926 1.40544812243e-05
0.378 0.377922651538 0.315658200636 0.306714492097 1.45494897974e-05
0.38 0.379922242286 0.318839498122 0.309992849619 1.50694532271e-05
0.382 0.381921833035 0.322032769594 0.313286357826 1.56160775177e-05
0.384 0.383921423784 0.325237867827 0.316594853402 1.61912169867e-05
0.386 0.385921014533 0.32845464343 0.319918169478 1.67968900125e-05
0.388 0.387920605282 0.331682944837 0.323256135573 1.7435296764e-05
0.39 0.389920196031 0.334922618269 0.326608577561 1.81088392148e-05
0.392 0.39191978678 0.338173507825 0.329975317766 1.88201437567e-05
0.394 0.393919377529 0.341435455408 0.3333561749 1.95720868533e-05
0.396 0.395918968277 0.344708300777 0.33675096407 2.03678241521e-05
0.398 0.397918559026 0.34799188153 0.340159496828 2.12108236573e-05
0.4 0.399918149775 0.351286033109 0.343581581114 2.21049035655e-05
0.402 0.401917740524 0.354590588873 0.347017021359 2.30542755809e-05
0.404 0.403917331273 0.35790537998 0.350465618371 2.40635945957e-05
0.406 0.405916922022 0.361230235508 0.353927169445 2.51380158638e-05
0.408 0.407916512771 0.364564982407 0.357401468335 2.62832609441e-05
0.41 0.40991610352 0.367909445545 0.360888305289 2.75056940288e-05
0.412 0.411915694268 0.371263447684 0.364387467025 2.88124105453e-05
0.414 0.413915285017 0.37462680952 0.36789873681 3.02113403343e-05
0.416 0.415914875766 0.377999349654 0.371421894381 3.17113682322e-05
